Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A855499,"AUSTIN 78741
(30.227985, -97.716971)",No (contact for more info),04/19/2022,Cat,Domestic Shorthair,Black,Unknown,2 days,http://www.petharbor.com/pet.asp?uaid=ASTN.A855499
A855496,"AUSTIN 78741
(30.227985, -97.716971)",No (contact for more info),04/19/2022,Cat,Domestic Shorthair,Black,Unknown,2 days,http://www.petharbor.com/pet.asp?uaid=ASTN.A855496
A855795,"9111 FM
AUSTIN 78719",Yes (come to the shelter),04/23/2022,Dog,Chihuahua Shorthair,Black/White,Intact Male,8 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A855795
A855692,"7100 S PLEASANT VALLEY RD
AUSTIN 78744
(30.174281, -97.750927)",Yes (come to the shelter),04/22/2022,Cat,Domestic Medium Hair,Black,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A855692
A855708,"EAST LOLA
AUSTIN 78753",Yes (come to the shelter),04/22/2022,Dog,Chihuahua Shorthair,Black/White,Intact Female,12 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A855708
A855776,"7000 ARDATH STREET
AUSTIN 78757
(30.348739, -97.739646)",Yes (come to the shelter),04/22/2022,Dog,Chow Chow Mix,Black/Tan,Intact Female,9 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A855776
A855704,"10300 TAYLOR LANE78653
(30.299495, -97.529929)",Yes (come to the shelter),04/22/2022,Dog,Labrador Retriever Mix,Tan/White,Intact Male,7 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A855704
A855649,"7224 NORTHEAST DRIVE
AUSTIN 78723
(30.321954, -97.679407)",Yes (come to the shelter),04/21/2022,Dog,Yorkshire Terrier Mix,Gold,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A855649
A854552,"641 TILLERY STREET
AUSTIN 78702
(30.257866, -97.705934)",Yes (come to the shelter),04/21/2022,Dog,Pit Bull Mix,Black/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A854552
A855562,"1722 COLONY CREEK DRIVE
AUSTIN 78758
(30.369114, -97.714553)",Yes (come to the shelter),04/19/2022,Cat,Domestic Shorthair Mix,Calico,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A855562
A855563,"1722 COLONY CREEK DRIVE
AUSTIN 78758
(30.369114, -97.714553)",Yes (come to the shelter),04/19/2022,Cat,Domestic Shorthair Mix,Calico,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A855563
A855743,"7000 DECKER LN
AUSTIN 78724
(30.296097, -97.624846)",Yes (come to the shelter),04/22/2022,Cat,Domestic Shorthair,Brown Tabby,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A855743
A855746,TAYLOR LANE78653,Yes (come to the shelter),04/22/2022,Dog,Shih Tzu,White/Tan,Intact Male,7 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A855746
A855457,"7601 DAFFAN LANE
AUSTIN 78724
(30.316966, -97.62376)",Yes (come to the shelter),04/18/2022,Cat,Domestic Medium Hair,Black/White,Intact Male,7 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A855457
A855662,"6422 MARR COVE
AUSTIN 78724
(30.291657, -97.635658)",No (contact for more info),04/21/2022,Cat,Balinese Mix,Lilac Point/White,Intact Male,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A855662
A855504,"ED ACKLIN RD MANOR 78653
(30.345865, -97.531473)",Yes (come to the shelter),04/19/2022,Dog,Siberian Husky,White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A855504
A855652,"3600 WEBBERVILLE
AUSTIN 78702
(30.27165, -97.705344)",Yes (come to the shelter),04/21/2022,Dog,Chihuahua Shorthair Mix,Brown,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A855652
A855666,"6422 MARR COVE
AUSTIN 78724
(30.291657, -97.635658)",No (contact for more info),04/21/2022,Cat,Domestic Longhair,Blue/White,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A855666
A855395,"1910 W BRAKER
AUSTIN 78758
(30.392008, -97.707343)",Yes (come to the shelter),04/17/2022,Dog,Labrador Retriever/German Shepherd,Brown/White,Spayed Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A855395
A855661,"6422 MARR COVE
AUSTIN 78724
(30.291657, -97.635658)",No (contact for more info),04/21/2022,Cat,Domestic Shorthair,Brown Tabby,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A855661
A855750,"7123 SCENIC BROOK DR
AUSTIN 78736
(30.236846, -97.886058)",Yes (come to the shelter),04/22/2022,Cat,Domestic Shorthair,Blue,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A855750
A855727,"16323 WELLS RD78653
(30.40354, -97.426419)",Yes (come to the shelter),04/22/2022,Cat,Domestic Shorthair,Brown Tabby/White,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A855727
A855741,"8700 SCHICK RD
AUSTIN 78729
(30.44728, -97.776164)",Yes (come to the shelter),04/22/2022,Cat,Domestic Shorthair,Tortie,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A855741
A855742,183 AUSTIN78754,Yes (come to the shelter),04/22/2022,Dog,Chinese Sharpei Mix,Black/White,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A855742
A855718,GREAT PANDA78617,Yes (come to the shelter),04/22/2022,Dog,German Shepherd Mix,Tan/White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A855718
A855772,"RIVERSIDE
AUSTIN 78704",Yes (come to the shelter),04/22/2022,Dog,Labrador Retriever Mix,Black/White,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A855772
A855650,"1200 MONTOPOLIS DRIVE
AUSTIN 78741
(30.231962, -97.698979)",Yes (come to the shelter),04/21/2022,Dog,Chihuahua Shorthair Mix,White/Brown,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A855650
A855749,"BILL BAKER
AUSTIN 78748",Yes (come to the shelter),04/22/2022,Dog,Pit Bull,Blue/White,Intact Female,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A855749
A855589,"9700 BITTING SCHOOL ROAD
AUSTIN 78767",Yes (come to the shelter),04/20/2022,Dog,German Shepherd,Black,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A855589
A855658,"6422 MARR COVE
AUSTIN 78724
(30.291657, -97.635658)",No (contact for more info),04/21/2022,Cat,Domestic Shorthair,Brown Tabby/White,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A855658
A855667,"6422 MARR COVE
AUSTIN 78724
(30.291657, -97.635658)",No (contact for more info),04/21/2022,Cat,Domestic Medium Hair,Brown Tabby/White,Intact Male,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A855667
A855579,"4606 BUNDY HILL DR
AUSTIN 78723
(30.287241, -97.677386)",Yes (come to the shelter),04/20/2022,Dog,Pit Bull Mix,White/Blue,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A855579
A855717,"6401 RIALTO
AUSTIN 78735
(30.249886, -97.859181)",Yes (come to the shelter),04/22/2022,Cat,Maine Coon,Blue,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A855717
A855591,"5416 N 973 ROAD
AUSTIN 78724",Yes (come to the shelter),04/20/2022,Dog,Border Collie Mix,White/Brown,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A855591
A855425,"5204 SAMUEL HUSTON AVE
AUSTIN 78721
(30.281462, -97.677193)",Yes (come to the shelter),04/18/2022,Cat,Domestic Shorthair,Brown Tabby/White,Spayed Female,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A855425
A855428,"1016 SOUTH MEADOWS DR
AUSTIN 78758
(30.376034, -97.696192)",No (contact for more info),04/18/2022,Cat,Domestic Shorthair,Black,Intact Female,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A855428
A855429,"1016 SOUTH MEADOWS DR
AUSTIN 78758
(30.376034, -97.696192)",No (contact for more info),04/18/2022,Cat,Domestic Shorthair,Black,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A855429
A855659,"6422 MARR COVE
AUSTIN 78724
(30.291657, -97.635658)",No (contact for more info),04/21/2022,Cat,Domestic Shorthair,Brown Tabby/White,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A855659
A855537,"1412 THORNRIDGE
AUSTIN 78758
(30.372098, -97.706768)",Yes (come to the shelter),04/19/2022,Dog,Pointer Mix,Gray/White,Intact Female,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A855537
A855592,"5416 N 973 ROAD
AUSTIN 78724",Yes (come to the shelter),04/20/2022,Dog,Pit Bull,Blue/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A855592
A855815,"4414 DOVE DR
AUSTIN 78744
(30.189956, -97.750785)",Yes (come to the shelter),04/23/2022,Dog,Labrador Retriever Mix,Brown/Black,Intact Female,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A855815
A855811,"4414 DOVE DR
AUSTIN 78744
(30.189956, -97.750785)",Yes (come to the shelter),04/23/2022,Dog,Labrador Retriever Mix,Brown Brindle/Black,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A855811
A855595,"8800 NORTH IH
AUSTIN 78753
(30.385129, -97.75686)",Yes (come to the shelter),04/20/2022,Dog,Australian Cattle Dog,Blue Tick/Black,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A855595
A855597,"1811 MEARNS MEADOW
AUSTIN 78758
(30.382431, -97.709966)",Yes (come to the shelter),04/20/2022,Cat,Domestic Shorthair Mix,Black/White,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A855597
A855598,"AUSTIN 78704
(30.243217, -97.76448)",Yes (come to the shelter),04/20/2022,Cat,Siamese,Flame Point,Neutered Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A855598
A855663,"6422 MARR COVE
AUSTIN 78724
(30.291657, -97.635658)",No (contact for more info),04/21/2022,Cat,Balinese Mix,Lilac Point/White,Intact Male,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A855663
A855664,"6422 MARR COVE
AUSTIN 78724
(30.291657, -97.635658)",No (contact for more info),04/21/2022,Cat,Domestic Shorthair,Blue/White,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A855664
A855665,"6422 MARR COVE
AUSTIN 78724
(30.291657, -97.635658)",No (contact for more info),04/21/2022,Cat,Domestic Shorthair,Blue/White,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A855665
A855818,10827 FM78730,Yes (come to the shelter),04/23/2022,Dog,Anatolian Shepherd/German Shepherd,Brown,Intact Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A855818
A855817,"124 W ANDERSON LANE
AUSTIN 78752
(30.344335, -97.705529)",Yes (come to the shelter),04/23/2022,Dog,Miniature Poodle Mix,White/Black,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A855817
A855819,10827 FM78730,Yes (come to the shelter),04/23/2022,Dog,German Shepherd/Anatolian Shepherd,Brown,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A855819
A855816,183 AND78719,Yes (come to the shelter),04/23/2022,Dog,Labrador Retriever,Tan,Unknown,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A855816
A855489,"CEDAR PARK 78613
(30.503628, -97.824803)",Yes (come to the shelter),04/18/2022,Cat,Domestic Shorthair,Brown Tabby,Spayed Female,9 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A855489
A855677,"4434 FRONTIER TRAIL
AUSTIN 78745
(30.231233, -97.795483)",Yes (come to the shelter),04/22/2022,Cat,Domestic Shorthair,Calico,Spayed Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A855677
A783773,"MLK
AUSTIN 78705",Yes (come to the shelter),04/22/2022,Dog,German Shepherd Mix,Tan/Black,Neutered Male,5 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A783773
A855723,"16323 WELLS RD78653
(30.40354, -97.426419)",Yes (come to the shelter),04/22/2022,Cat,Domestic Medium Hair,White/Blue,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A855723
A855807,"SOUTHWEST PKWY
AUSTIN 78735",Yes (come to the shelter),04/23/2022,Cat,Domestic Shorthair,Tan/Cream,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A855807
A855822,"6403 DEL MONTE ROAD
AUSTIN 78741
(30.240624, -97.690284)",Yes (come to the shelter),04/23/2022,Dog,Chow Chow Mix,Tan,Intact Female,8 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A855822
A855820,"12138 N LAMAR BLVD
AUSTIN 78753
(30.398419, -97.679479)",Yes (come to the shelter),04/23/2022,Dog,Chihuahua Shorthair,Tan,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A855820
A855604,"311 43RD ST
AUSTIN 78751
(30.307679, -97.732508)",Yes (come to the shelter),04/20/2022,Cat,Domestic Shorthair,Orange Tabby,Spayed Female,9 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A855604
A855552,"6117 MONTOPOLIS
AUSTIN 78741",Yes (come to the shelter),04/19/2022,Cat,Domestic Shorthair Mix,Orange Tabby,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A855552
A814578,"7201 LEVANDER LOOP
AUSTIN 78702
(30.251079, -97.691727)",Yes (come to the shelter),04/22/2022,Dog,Pit Bull,White/Brown,Spayed Female,8 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A814578
A855676,"10619 DENELL
AUSTIN 78753
(30.36771, -97.673053)",Yes (come to the shelter),04/21/2022,Dog,Miniature Schnauzer Mix,Black/White,Intact Female,14 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A855676
A855660,"6422 MARR COVE
AUSTIN 78724
(30.291657, -97.635658)",No (contact for more info),04/21/2022,Cat,Domestic Shorthair,Brown Tabby/White,Intact Male,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A855660
A855674,"2607 WESTOVER ROAD
AUSTIN 78703
(30.302673, -97.76353)",Yes (come to the shelter),04/21/2022,Cat,Domestic Shorthair Mix,Blue/White,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A855674
A855672,"4611 PACK SADDLE PASS
AUSTIN 78745
(30.227042, -97.79853)",Yes (come to the shelter),04/21/2022,Dog,Jack Russell Terrier Mix,White/Black,Intact Male,8 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A855672
A855720,"7201 LEVANDER LOOP
AUSTIN 78702
(30.251079, -97.691727)",Yes (come to the shelter),04/22/2022,Dog,Pit Bull,Brown Brindle/White,Spayed Female,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A855720
A855721,"1149 EBERT AVENUE
AUSTIN 78721
(30.271013, -97.686639)",Yes (come to the shelter),04/22/2022,Dog,Catahoula,Brown Merle/White,Intact Female,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A855721
A855722,"1149 EBERT AVENUE
AUSTIN 78721
(30.271013, -97.686639)",Yes (come to the shelter),04/22/2022,Dog,Catahoula,Brown Merle/White,Intact Male,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A855722
A855682,"9001 VALDEZ STREET
AUSTIN 78741",Yes (come to the shelter),04/21/2022,Dog,Pit Bull,Black/White,Intact Male,11 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A855682
A855679,"7201 LEVANDER LOOP
AUSTIN 78702
(30.251079, -97.691727)",Yes (come to the shelter),04/21/2022,Dog,Labrador Retriever,Tan,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A855679
A855685,"7313 CREEKBLUFF
AUSTIN 78750
(30.373571, -97.785607)",Yes (come to the shelter),04/21/2022,Dog,Pit Bull Mix,Black/White,Spayed Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A855685
A855725,"16323 WELLS RD78653
(30.40354, -97.426419)",Yes (come to the shelter),04/22/2022,Cat,Domestic Shorthair,Brown Tabby,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A855725
A855724,"16323 WELLS RD78653
(30.40354, -97.426419)",Yes (come to the shelter),04/22/2022,Cat,Domestic Shorthair,White/Blue,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A855724
A855726,"16323 WELLS RD78653
(30.40354, -97.426419)",Yes (come to the shelter),04/22/2022,Cat,Domestic Shorthair,Brown Tabby,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A855726
A855464,"AUSTIN COLONY BLVD AUSTIN 78725
(30.242394, -97.615386)",No (contact for more info),04/18/2022,Cat,Domestic Shorthair,Brown Tabby/White,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A855464
A855466,"12102 COTTAGE PROMENADE COURT
AUSTIN 78753
(30.390631, -97.664622)",Yes (come to the shelter),04/18/2022,Cat,Domestic Shorthair,Brown Tabby/White,Neutered Male,10 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A855466
A855530,"835 NORTH PLEASANT VALLEY
AUSTIN 78741
(30.26457, -97.70825)",Yes (come to the shelter),04/19/2022,Dog,Labrador Retriever Mix,White,Intact Male,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A855530
A855531,"835 NORTH PLEASANT VALLEY
AUSTIN 78741
(30.26457, -97.70825)",Yes (come to the shelter),04/19/2022,Dog,Labrador Retriever Mix,White,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A855531
A855528,"2207 LOU NEFF ROAD
AUSTIN 78746
(30.269064, -97.766591)",Yes (come to the shelter),04/19/2022,Cat,Domestic Shorthair,Brown Tabby,Intact Female,3 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A855528
A855426,"25202 OLD FERRY RD
AUSTIN 78669
(30.428857, -98.083777)",No (contact for more info),04/18/2022,Cat,Domestic Shorthair,White,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A855426
A855463,"AUSTIN COLONY BLVD AUSTIN 78725
(30.242394, -97.615386)",No (contact for more info),04/18/2022,Cat,Domestic Shorthair,Orange Tabby/White,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A855463
A855509,"BLUFF BEND DR AUSTIN 78753
(30.378511, -97.675352)",Yes (come to the shelter),04/19/2022,Dog,Labrador Retriever,White,Neutered Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A855509
A855470,"207 FRANKLIN BOULEVARD
AUSTIN 78751
(30.319385, -97.723273)",Yes (come to the shelter),04/18/2022,Dog,Pit Bull Mix,White/Brown,Neutered Male,7 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A855470
A855484,"8652 NUCKOLS CROSSING
AUSTIN 78744
(30.159877, -97.759368)",Yes (come to the shelter),04/18/2022,Dog,Chihuahua Shorthair Mix,Black/Tan,Neutered Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A855484
A855485,"8652 NUCKOLS CROSSING
AUSTIN 78744
(30.159877, -97.759368)",Yes (come to the shelter),04/18/2022,Dog,Chihuahua Shorthair Mix,Tan/White,Spayed Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A855485
A855529,"AIRPORT
AUSTIN 78702",No (contact for more info),04/19/2022,Cat,Domestic Shorthair,Brown Tabby,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A855529
A855469,"AUSTIN 78741
(30.227985, -97.716971)",Yes (come to the shelter),04/18/2022,Cat,Domestic Shorthair,Calico,Spayed Female,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A855469
A855533,"AUSTIN 78702
(30.264271, -97.71608)",Yes (come to the shelter),04/19/2022,Dog,Pit Bull,Brown,Intact Male,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A855533
A855462,"AUSTIN COLONY BLVD AUSTIN 78725
(30.242394, -97.615386)",No (contact for more info),04/18/2022,Cat,Domestic Shorthair,Cream Tabby/White,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A855462
A855546,"11725 TIMBER HEIGHTS
AUSTIN 78754
(30.376225, -97.650259)",Yes (come to the shelter),04/19/2022,Dog,Mastiff Mix,Black Tiger,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A855546
